Team,Win_Probability_%,Playoff_Probability_%,Titles_Won,Playoff_Appearances
Oval Invincibles,19.3,76.0,193,760
Birmingham Phoenix,18.0,72.9,180,729
London Spirit,15.6,70.6,156,706
Northern Superchargers,10.8,61.5,108,615
Manchester Originals,10.6,62.7,106,627
Welsh Fire,10.2,56.9,102,569
Southern Brave,7.8,53.6,78,536
Trent Rockets,7.7,45.8,77,458
